bb_distance,distance_to_origin,face_type,filename,label,n_faces,n_vertices,surface_area,
1.509851,0.000000,tri,313.off,Bust,21700,10852,2.253967,
1.462351,0.000001,tri,314.off,Bust,52870,26437,1.882630,
1.509230,0.000000,tri,315.off,Bust,51532,25768,2.146651,
1.507368,0.000000,tri,316.off,Bust,46786,23395,2.213157,
1.381869,0.000000,tri,317.off,Bust,55448,27726,1.740681,
1.560960,0.000000,tri,318.off,Bust,50286,25145,2.085031,
1.299726,0.000000,tri,319.off,Bust,53112,26558,1.653107,
1.595732,0.000001,tri,320.off,Bust,54232,27118,2.395713,
1.204199,0.000000,tri,101.off,Chair,16998,8499,0.833026,
1.487144,0.000003,tri,102.off,Chair,31456,15724,1.592862,
1.235801,0.000001,tri,103.off,Chair,19304,9652,0.947922,
1.144635,0.000005,tri,104.off,Chair,17306,8653,0.816088,
1.144549,0.000001,tri,105.off,Chair,18530,9261,0.862908,
1.357398,0.000019,tri,106.off,Chair,28104,14052,1.405728,
1.325829,0.000000,tri,107.off,Chair,22854,11421,1.171910,
1.326599,0.000000,tri,108.off,Chair,21008,10500,1.128463,
1.333280,0.000001,tri,109.off,Chair,20602,10301,1.003643,
1.169522,0.000005,tri,110.off,Chair,16920,8456,0.785649,
1.169644,0.000004,tri,111.off,Chair,16100,8050,0.753090,
1.337714,0.000005,tri,112.off,Chair,27256,13628,1.344151,
1.302378,0.000002,tri,113.off,Chair,21500,10748,1.062838,
1.192893,0.000003,tri,114.off,Chair,11588,5794,0.496031,
1.301883,0.000002,tri,115.off,Chair,20086,10043,0.985582,
1.326942,0.000004,tri,116.off,Chair,26926,13463,1.342214,
1.310292,0.000003,tri,117.off,Chair,28744,14372,1.354073,
1.207743,0.000001,tri,118.off,Chair,18306,9153,0.842557,
1.274259,0.000007,tri,119.off,Chair,24652,12326,1.138502,
1.183909,0.000011,tri,120.off,Chair,20242,10121,0.953644,
1.407331,0.000000,tri,21.off,Cup,30396,15198,3.086580,
1.472587,0.000000,tri,22.off,Cup,30004,15002,3.681546,
1.408933,0.000001,tri,23.off,Cup,30074,15037,2.644825,
1.475507,0.000000,tri,24.off,Cup,30492,15246,3.628292,
1.384886,0.000000,tri,25.off,Cup,30170,15087,4.091678,
1.537094,0.000000,tri,26.off,Cup,30418,15209,4.432362,
1.535910,0.000001,tri,27.off,Cup,30274,15137,4.379849,
1.406042,0.000000,tri,28.off,Cup,30140,15070,3.077399,
1.445169,0.000001,tri,29.off,Cup,30254,15127,3.682791,
1.462376,0.000001,tri,30.off,Cup,30008,15006,2.034193,
1.528097,0.000000,tri,31.off,Cup,30454,15227,3.465516,
1.531071,0.000000,tri,32.off,Cup,29502,14751,4.464559,
1.471790,0.000000,tri,33.off,Cup,14698,7349,3.563217,
1.617941,0.000000,tri,34.off,Cup,19204,9602,4.502102,
1.345453,0.000001,tri,35.off,Cup,30268,15136,2.663561,
1.568961,0.000000,tri,36.off,Cup,18152,9076,3.411574,
1.492238,0.000000,tri,37.off,Cup,12540,6270,4.205579,
1.448168,0.000001,tri,38.off,Cup,30128,15064,3.815405,
1.427912,0.000000,tri,39.off,Cup,30322,15161,4.185621,
1.273633,0.000000,tri,40.off,Cup,30326,15165,3.310711,
1.211828,0.000000,tri,221.off,Fish,14238,7121,0.771372,
1.108987,0.000000,tri,222.off,Fish,10506,5255,0.560975,
1.190346,0.000000,tri,223.off,Fish,13308,6656,0.703936,
1.094523,0.000000,tri,224.off,Fish,10118,5061,0.535070,
1.166613,0.000000,tri,225.off,Fish,12148,6076,0.649148,
1.097116,0.000000,tri,226.off,Fish,10428,5216,0.562057,
1.097116,0.000000,tri,227.off,Fish,10428,5216,0.562057,
1.131383,0.000000,tri,228.off,Fish,11180,5592,0.610388,
1.104508,0.000000,tri,229.off,Fish,10486,5245,0.576063,
1.219501,0.000000,tri,230.off,Fish,15142,7573,0.820207,
1.147890,0.000000,tri,231.off,Fish,12524,6264,0.651847,
1.093040,0.000000,tri,232.off,Fish,10876,5440,0.574719,
1.312035,0.000001,tri,233.off,Fish,20368,10186,1.106288,
1.206445,0.000000,tri,234.off,Fish,14992,7498,0.804535,
1.117459,0.000000,tri,235.off,Fish,10496,5250,0.558908,
1.118752,0.000000,tri,236.off,Fish,9686,4845,0.518379,
1.079684,0.000000,tri,237.off,Fish,8874,4439,0.458832,
1.111408,0.000001,tri,238.off,Fish,10188,5096,0.535009,
1.089989,0.000000,tri,239.off,Fish,10238,5121,0.542336,
1.159592,0.000000,tri,240.off,Fish,13662,6833,0.732987,
1.242882,0.000000,tri,381.off,FourLeg,13872,6938,1.061406,
1.376144,0.000000,tri,382.off,FourLeg,16152,8078,1.053306,
1.170448,0.000000,tri,383.off,FourLeg,26658,13331,1.106669,
1.165200,0.000000,tri,384.off,FourLeg,9420,4712,0.757886,
1.284239,0.000001,tri,385.off,FourLeg,20868,10436,0.991934,
1.428920,0.000000,tri,386.off,FourLeg,4170,2087,1.248221,
1.417364,0.000001,tri,387.off,FourLeg,29356,14680,1.071972,
1.197432,0.000000,tri,388.off,FourLeg,16818,8411,1.068238,
1.357730,0.000000,tri,389.off,FourLeg,18976,9490,1.179138,
1.221395,0.000000,tri,390.off,FourLeg,18474,9239,0.546459,
1.192507,0.000000,tri,391.off,FourLeg,8626,4315,1.053878,
1.198531,0.000000,tri,392.off,FourLeg,17232,8618,0.974852,
1.432112,0.000000,tri,393.off,FourLeg,19510,9757,1.229781,
1.333124,0.000000,tri,394.off,FourLeg,18014,9009,1.026021,
1.343986,0.000000,tri,395.off,FourLeg,22620,11312,0.844117,
1.387214,0.000000,tri,396.off,FourLeg,11072,5538,1.135571,
1.326939,0.000000,tri,397.off,FourLeg,14532,7268,1.075773,
1.201519,0.000000,tri,398.off,FourLeg,2956,1480,0.749649,
1.395122,0.000000,tri,399.off,FourLeg,7818,3911,1.134109,
1.214106,0.000000,tri,400.off,FourLeg,7402,3703,0.839702,
1.407990,0.000001,tri,41.off,Glasses,14028,7016,0.664976,
1.258412,0.000002,tri,42.off,Glasses,8324,4164,0.366453,
1.255611,0.000000,tri,43.off,Glasses,6824,3414,0.291646,
1.353834,0.000001,tri,44.off,Glasses,12572,6288,0.600218,
1.358642,0.000001,tri,45.off,Glasses,10794,5399,0.495752,
1.056514,0.000000,tri,46.off,Glasses,4784,2394,0.198359,
1.012457,0.000000,tri,47.off,Glasses,4052,2028,0.160056,
1.259072,0.000004,tri,48.off,Glasses,10348,5176,0.448361,
1.101011,0.000000,tri,49.off,Glasses,6220,3110,0.269486,
1.412390,0.000001,tri,50.off,Glasses,14836,7420,0.712912,
1.147920,0.000000,tri,51.off,Glasses,5712,2858,0.256244,
1.038847,0.000000,tri,52.off,Glasses,3104,1554,0.128901,
1.076335,0.000001,tri,53.off,Glasses,4988,2496,0.208297,
1.411695,0.000000,tri,54.off,Glasses,14810,7407,0.688873,
1.153360,0.000000,tri,55.off,Glasses,5696,2850,0.256677,
1.431321,0.000001,tri,56.off,Glasses,17538,8771,0.845565,
1.411419,0.000001,tri,57.off,Glasses,14822,7413,0.689483,
1.015133,0.000000,tri,58.off,Glasses,3710,1857,0.144735,
1.084434,0.000000,tri,59.off,Glasses,5786,2895,0.255536,
1.065878,0.000001,tri,60.off,Glasses,4746,2375,0.200359,
1.167224,0.000000,tri,181.off,Hand,14480,7242,0.782826,
1.226834,0.000000,tri,182.off,Hand,20562,10283,1.181881,
1.387657,0.000000,tri,183.off,Hand,22822,11413,1.504125,
1.203094,0.000000,tri,184.off,Hand,9366,4685,1.125790,
1.190655,0.000000,tri,185.off,Hand,4974,2489,0.912225,
1.200242,0.000000,tri,186.off,Hand,13210,6607,0.937583,
1.166894,0.000001,tri,187.off,Hand,15256,7628,0.818294,
1.366844,0.000000,tri,188.off,Hand,17202,8603,1.067645,
1.558122,0.000001,tri,189.off,Hand,28164,14084,1.619596,
1.274078,0.000000,tri,190.off,Hand,14996,7500,0.919047,
1.374979,0.000000,tri,191.off,Hand,27528,13766,1.528102,
1.233175,0.000000,tri,192.off,Hand,13978,6991,0.889330,
1.167811,0.000000,tri,193.off,Hand,14624,7314,0.920886,
1.161451,0.000001,tri,194.off,Hand,16938,8471,0.928771,
1.171868,0.000001,tri,195.off,Hand,17044,8524,0.949555,
1.332569,0.000000,tri,196.off,Hand,14220,7112,0.922910,
1.201074,0.000000,tri,197.off,Hand,15102,7553,0.913503,
1.095704,0.000000,tri,198.off,Hand,19124,9564,0.644340,
1.152959,0.000000,tri,199.off,Hand,17290,8647,1.064721,
1.310049,0.000000,tri,200.off,Hand,3026,1515,0.867030,
1.091274,0.000000,tri,1.off,Human,9408,4706,0.548298,
1.157303,0.000000,tri,10.off,Human,19012,9508,0.542523,
1.405918,0.000000,tri,11.off,Human,21994,10999,0.697724,
1.389764,0.000000,tri,12.off,Human,11224,5614,0.664952,
1.148318,0.000000,tri,13.off,Human,27402,13703,0.722127,
1.579804,0.000000,tri,14.off,Human,11378,5691,0.785728,
1.204343,0.000000,tri,15.off,Human,11258,5631,0.879372,
1.214111,0.000001,tri,16.off,Human,30450,15223,0.782746,
1.284456,0.000000,tri,17.off,Human,31816,15910,0.743408,
1.301420,0.000001,tri,18.off,Human,30766,15385,1.098698,
1.165646,0.000000,tri,19.off,Human,30950,15477,0.568275,
1.157163,0.000000,tri,2.off,Human,20096,10050,0.621354,
1.153960,0.000000,tri,20.off,Human,31396,15700,0.579128,
1.162516,0.000000,tri,3.off,Human,11278,5641,0.597373,
1.188745,0.000000,tri,4.off,Human,11348,5676,0.608914,
1.192969,0.000000,tri,5.off,Human,30308,15154,0.696162,
1.064349,0.000000,tri,6.off,Human,20192,10098,0.655353,
1.062166,0.000000,tri,7.off,Human,16878,8441,0.603570,
1.143402,0.000000,tri,8.off,Human,22026,11015,0.490317,
1.133295,0.000000,tri,9.off,Human,5274,2639,0.476558,
1.448230,0.000000,tri,321.off,Mech,29986,14995,3.655650,
1.448229,0.000000,tri,322.off,Mech,29978,14991,3.644361,
1.448230,0.000000,tri,323.off,Mech,29978,14991,3.631260,
1.731880,0.000000,tri,324.off,Mech,29620,14812,4.489580,
1.502128,0.000000,tri,325.off,Mech,29994,14999,3.042941,
1.524101,0.000000,tri,326.off,Mech,29986,14995,3.442307,
1.581713,0.000000,tri,327.off,Mech,29870,14937,3.369476,
1.448230,0.000000,tri,328.off,Mech,29984,14994,3.619120,
1.448230,0.000000,tri,329.off,Mech,29994,14999,3.646369,
1.448230,0.000000,tri,330.off,Mech,29996,15000,3.651424,
1.374355,0.000000,tri,331.off,Mech,29996,15000,3.263520,
1.374355,0.000000,tri,332.off,Mech,29990,14997,3.029372,
1.374355,0.000000,tri,333.off,Mech,29880,14942,3.278809,
1.577973,0.000000,tri,334.off,Mech,29990,14997,4.375967,
1.448230,0.000000,tri,335.off,Mech,29986,14995,3.655644,
1.285883,0.000001,tri,336.off,Mech,31006,15505,2.015635,
1.532103,0.000000,tri,337.off,Mech,23062,11533,2.864249,
1.488007,0.000000,tri,338.off,Mech,38802,19403,3.326147,
1.374355,0.000000,tri,339.off,Mech,29996,15000,3.263537,
1.577973,0.000000,tri,340.off,Mech,29990,14997,4.375953,
1.276602,0.000000,tri,121.off,Octopus,11888,5944,0.579630,
1.344293,0.000000,tri,122.off,Octopus,14498,7251,0.714844,
1.556495,0.000001,tri,123.off,Octopus,30982,15493,1.626242,
1.351723,0.000000,tri,124.off,Octopus,6198,3101,0.210934,
1.585575,0.000000,tri,125.off,Octopus,2682,1343,0.884328,
1.495298,0.000000,tri,126.off,Octopus,12646,6325,0.577300,
1.514141,0.000000,tri,127.off,Octopus,23808,11906,1.283417,
1.334979,0.000000,tri,128.off,Octopus,12324,6164,0.585456,
1.375206,0.000000,tri,129.off,Octopus,12284,6144,0.599888,
1.428890,0.000001,tri,130.off,Octopus,15490,7747,0.783134,
1.582819,0.000000,tri,131.off,Octopus,22098,11051,1.342477,
1.077612,0.000000,tri,132.off,Octopus,15620,7812,0.697243,
1.404234,0.000000,tri,133.off,Octopus,20932,10466,1.037263,
1.418163,0.000000,tri,134.off,Octopus,21860,10932,1.106133,
1.518023,0.000001,tri,135.off,Octopus,30398,15201,1.653401,
1.545810,0.000000,tri,136.off,Octopus,28248,14126,1.548614,
1.514827,0.000000,tri,137.off,Octopus,18244,9124,0.941344,
1.379870,0.000001,tri,138.off,Octopus,19184,9594,0.984244,
1.458974,0.000000,tri,139.off,Octopus,16030,8017,0.800096,
1.508529,0.000000,tri,140.off,Octopus,18396,9200,0.952800,
1.195653,0.000001,tri,201.off,Plier,8970,4487,0.466151,
1.199365,0.000001,tri,202.off,Plier,8978,4491,0.468900,
1.206416,0.000000,tri,203.off,Plier,7808,3906,0.488143,
1.279780,0.000000,tri,204.off,Plier,8810,4407,0.472646,
1.213612,0.000000,tri,205.off,Plier,8952,4478,0.497818,
1.219525,0.000001,tri,206.off,Plier,9584,4794,0.511298,
1.280500,0.000000,tri,207.off,Plier,10400,5202,0.565104,
1.367004,0.000000,tri,208.off,Plier,12204,6104,0.657844,
1.359549,0.000000,tri,209.off,Plier,10216,5110,0.632545,
1.320449,0.000000,tri,210.off,Plier,11012,5508,0.576483,
1.301148,0.000000,tri,211.off,Plier,8564,4284,0.514345,
1.267539,0.000000,tri,212.off,Plier,8592,4298,0.445286,
1.214028,0.000000,tri,213.off,Plier,7922,3963,0.481085,
1.202654,0.000000,tri,214.off,Plier,7604,3804,0.463924,
1.196371,0.000000,tri,215.off,Plier,8922,4463,0.465845,
1.196332,0.000000,tri,216.off,Plier,8952,4478,0.467143,
1.235655,0.000000,tri,217.off,Plier,10398,5201,0.562896,
1.273828,0.000000,tri,218.off,Plier,12392,6198,0.657871,
1.409517,0.000000,tri,219.off,Plier,7880,3942,0.529885,
1.371585,0.000000,tri,220.off,Plier,8910,4457,0.561828,
1.297354,0.000001,tri,141.off,Table,27848,13926,1.692122,
1.132106,0.000000,tri,142.off,Table,19600,9802,0.961979,
1.132106,0.000004,tri,143.off,Table,18536,9270,0.907300,
1.308254,0.000010,tri,144.off,Table,30160,15082,1.470260,
1.608926,0.000001,tri,145.off,Table,26408,13206,1.992468,
1.570602,0.000000,tri,146.off,Table,27424,13714,2.439473,
1.484738,0.000001,tri,147.off,Table,27406,13705,1.981026,
1.446719,0.000000,tri,148.off,Table,26746,13375,1.971068,
1.446128,0.000000,tri,149.off,Table,27172,13588,1.829192,
1.535655,0.000001,tri,150.off,Table,27154,13579,1.593089,
1.482630,0.000001,tri,151.off,Table,25388,12696,2.623223,
1.157120,0.000011,tri,152.off,Table,21082,10543,1.028793,
1.291267,0.000001,tri,153.off,Table,27158,13581,1.745476,
1.509905,0.000000,tri,154.off,Table,27854,13929,1.947107,
1.336676,0.000001,tri,155.off,Table,28764,14384,1.575156,
1.380488,0.000010,tri,156.off,Table,20196,10100,1.016713,
1.466676,0.000001,tri,157.off,Table,27762,13883,1.904194,
1.543976,0.000039,tri,158.off,Table,29170,14587,1.516501,
1.408865,0.000001,tri,159.off,Table,27856,13930,2.132899,
1.263597,0.000017,tri,160.off,Table,20160,10082,1.067655,
1.344209,0.000000,tri,161.off,Teddy,27648,13826,1.598020,
1.247265,0.000000,tri,162.off,Teddy,20188,10096,1.122484,
1.274207,0.000000,tri,163.off,Teddy,21758,10879,1.211633,
1.353176,0.000001,tri,164.off,Teddy,29014,14509,1.614700,
1.201247,0.000000,tri,165.off,Teddy,20462,10233,1.137179,
1.314965,0.000000,tri,166.off,Teddy,22176,11090,1.249353,
1.341687,0.000000,tri,167.off,Teddy,25290,12647,1.400568,
1.245706,0.000000,tri,168.off,Teddy,21500,10752,1.204454,
1.366200,0.000000,tri,169.off,Teddy,25118,12561,1.377531,
1.365720,0.000000,tri,170.off,Teddy,24996,12500,1.374133,
1.260605,0.000000,tri,171.off,Teddy,29806,14905,1.250509,
1.238643,0.000000,tri,172.off,Teddy,20278,10141,1.135797,
1.281614,0.000000,tri,173.off,Teddy,27730,13867,1.537595,
1.314764,0.000000,tri,174.off,Teddy,25658,12831,1.095443,
1.258083,0.000000,tri,175.off,Teddy,18956,9480,1.093069,
1.444815,0.000000,tri,176.off,Teddy,24996,12500,1.633153,
1.349659,0.000000,tri,177.off,Teddy,25082,12543,1.453463,
1.321399,0.000001,tri,178.off,Teddy,24346,12175,1.415205,
1.392325,0.000001,tri,179.off,Teddy,26644,13324,1.543677,
1.242731,0.000000,tri,180.off,Teddy,19092,9548,1.094054,
1.248524,0.000000,tri,361.off,Vase,29734,14859,1.412694,
1.186701,0.000000,tri,362.off,Vase,28952,14476,1.340156,
1.124394,0.000000,tri,363.off,Vase,26864,13434,0.791183,
1.409002,0.000000,tri,364.off,Vase,27100,13548,1.619060,
1.622738,0.000000,tri,365.off,Vase,27028,13514,2.679544,
1.227468,0.000000,tri,366.off,Vase,21274,10637,1.300045,
1.292257,0.000000,tri,367.off,Vase,7800,3900,1.295438,
1.576869,0.000001,tri,368.off,Vase,22400,11202,2.537428,
1.366086,0.000000,tri,369.off,Vase,27212,13606,1.860249,
1.318790,0.000000,tri,370.off,Vase,27836,13920,1.471531,
1.361156,0.000000,tri,371.off,Vase,29194,14599,1.695459,
1.373026,0.000000,tri,372.off,Vase,13368,6684,1.436404,
1.169455,0.000000,tri,373.off,Vase,21112,10556,1.108145,
1.116498,0.000000,tri,374.off,Vase,29744,14872,0.990344,
1.217052,0.000000,tri,375.off,Vase,23520,11762,0.905851,
1.329667,0.000000,tri,376.off,Vase,25132,12568,1.546194,
1.245948,0.000000,tri,377.off,Vase,30342,15169,1.208312,
1.367288,0.000000,tri,378.off,Vase,13368,6684,1.442901,
1.291079,0.000000,tri,379.off,Vase,13842,6923,1.278207,
1.340139,0.000000,tri,380.off,Vase,18708,9356,1.932615,
