bb_center,bb_max,bb_min,centroid,face_type,filename,label,n_faces,n_vertices,
"0.076195
0.123738
0.026562","0.576195
0.450104
0.314949","-0.423805
-0.202628
-0.261826","0.038098
0.061869
0.013281",tri,285.off,Armadillo,50382,25193,
"0.122544
0.205338
0.007088","0.622544
0.630982
0.423989","-0.377456
-0.220305
-0.409813","0.061272
0.102669
0.003544",tri,286.off,Armadillo,50212,25108,
"0.058625
0.027509
0.027042","0.558625
0.418689
0.325323","-0.441375
-0.363672
-0.271239","0.029313
0.013754
0.013521",tri,287.off,Armadillo,50978,25491,
"0.046933
-0.001248
0.089793","0.546933
0.430277
0.519866","-0.453067
-0.432773
-0.340281","0.023466
-0.000624
0.044896",tri,288.off,Armadillo,39996,20000,
"0.012178
-0.055159
-0.019663","0.458922
0.444841
0.322187","-0.434565
-0.555159
-0.361514","0.006089
-0.027580
-0.009832",tri,289.off,Armadillo,50418,25211,
"0.014321
0.022369
0.040021","0.514321
0.341786
0.294587","-0.485679
-0.297048
-0.214545","0.007160
0.011185
0.020010",tri,290.off,Armadillo,50858,25431,
"-0.041608
0.064176
0.006685","0.458392
0.296821
0.236703","-0.541608
-0.168469
-0.223333","-0.020804
0.032088
0.003342",tri,291.off,Armadillo,49226,24615,
"0.110160
0.052748
0.027768","0.610160
0.497382
0.278815","-0.389840
-0.391886
-0.223280","0.055080
0.026374
0.013884",tri,292.off,Armadillo,43544,21774,
"0.060145
0.097869
0.056975","0.560145
0.395521
0.287225","-0.439855
-0.199783
-0.173276","0.030073
0.048935
0.028487",tri,293.off,Armadillo,29996,15000,
"0.030355
0.041593
-0.016736","0.530355
0.226910
0.160217","-0.469645
-0.143723
-0.193689","0.015178
0.020797
-0.008368",tri,294.off,Armadillo,32998,16501,
"0.225804
0.014665
-0.005104","0.725804
0.369820
0.267797","-0.274196
-0.340489
-0.278005","0.112903
0.007333
-0.002552",tri,295.off,Armadillo,33556,16780,
"0.026705
0.119697
0.026922","0.526705
0.452788
0.251670","-0.473295
-0.213393
-0.197825","0.013353
0.059849
0.013461",tri,296.off,Armadillo,31660,15832,
"0.072940
0.062664
0.036885","0.572940
0.421683
0.354056","-0.427060
-0.296355
-0.280285","0.036470
0.031332
0.018443",tri,297.off,Armadillo,30626,15315,
"0.040361
0.030480
0.016521","0.540361
0.422473
0.314675","-0.459639
-0.361513
-0.281633","0.020181
0.015240
0.008260",tri,298.off,Armadillo,29996,15000,
"0.098702
0.004767
0.104665","0.598702
0.453916
0.509056","-0.401298
-0.444383
-0.299725","0.049351
0.002383
0.052333",tri,299.off,Armadillo,34230,17117,
"0.134081
0.025694
-0.035411","0.634081
0.480716
0.291063","-0.365919
-0.429329
-0.361885","0.067040
0.012847
-0.017705",tri,300.off,Armadillo,34902,17453,
"0.193298
-0.000222
-0.001751","0.693298
0.148760
0.147329","-0.306702
-0.149204
-0.150831","0.096647
-0.000111
-0.000875",tri,341.off,Bearing,53152,26578,
"0.193303
-0.000220
-0.001754","0.693303
0.148762
0.147326","-0.306697
-0.149202
-0.150834","0.096652
-0.000110
-0.000877",tri,342.off,Bearing,53152,26578,
"0.193899
0.000026
0.000021","0.693899
0.149000
0.149094","-0.306101
-0.148949
-0.149053","0.096947
0.000013
0.000010",tri,343.off,Bearing,53152,26578,
"-0.108822
0.000828
0.003752","0.391178
0.214225
0.215089","-0.608822
-0.212568
-0.207585","-0.054411
0.000414
0.001876",tri,344.off,Bearing,25440,12722,
"-0.114644
0.003659
-0.009209","0.385356
0.217491
0.205356","-0.614644
-0.210173
-0.223775","-0.057322
0.001830
-0.004605",tri,345.off,Bearing,28896,14450,
"-0.121691
-0.006489
0.001546","0.378309
0.210366
0.216554","-0.621691
-0.223344
-0.213461","-0.060845
-0.003245
0.000773",tri,346.off,Bearing,28680,14342,
"0.011414
0.004537
0.002314","0.511414
0.189759
0.187791","-0.488586
-0.180686
-0.183162","0.005707
0.002268
0.001157",tri,347.off,Bearing,20968,10486,
"-0.069792
0.000104
0.000320","0.430208
0.076920
0.076876","-0.569792
-0.076712
-0.076237","-0.034896
0.000049
0.000157",tri,348.off,Bearing,20528,10266,
"0.068885
-0.000029
0.000168","0.568885
0.077120
0.077319","-0.431116
-0.077177
-0.076982","0.034442
-0.000014
0.000084",tri,349.off,Bearing,20528,10266,
"0.068928
0.000142
-0.000033","0.568928
0.076713
0.076383","-0.431072
-0.076429
-0.076449","0.034464
0.000071
-0.000017",tri,350.off,Bearing,70056,35030,
"0.218433
0.000903
-0.000350","0.718433
0.143179
0.141389","-0.281567
-0.141374
-0.142089","0.109217
0.000451
-0.000175",tri,351.off,Bearing,41520,20762,
"0.216938
-0.000084
0.000440","0.716938
0.141883
0.143288","-0.283062
-0.142051
-0.142408","0.108469
-0.000042
0.000220",tri,352.off,Bearing,20796,10400,
"0.091815
-0.000002
-0.000011","0.591815
0.104853
0.104853","-0.408185
-0.104857
-0.104875","0.045907
-0.000001
-0.000005",tri,353.off,Bearing,48320,24162,
"0.220400
0.001595
0.000969","0.720400
0.143077
0.142163","-0.279600
-0.139888
-0.140224","0.110201
0.000797
0.000485",tri,354.off,Bearing,23264,11634,
"0.000073
0.000002
-0.000009","0.500073
0.062360
0.062413","-0.499927
-0.062355
-0.062431","0.000036
0.000001
-0.000005",tri,355.off,Bearing,29984,14994,
"0.000004
0.000001
0.000000","0.500004
0.062395
0.062459","-0.499996
-0.062393
-0.062459","0.000002
0.000000
0.000000",tri,356.off,Bearing,29980,14992,
"-0.000026
-0.000447
0.000000","0.499974
0.067750
0.033170","-0.500026
-0.068645
-0.033169","-0.000013
-0.000224
0.000000",tri,357.off,Bearing,29764,14872,
"0.612249
0.000098
-0.000337","1.112249
0.380839
0.380432","0.112249
-0.380643
-0.381106","0.306124
0.000049
-0.000169",tri,358.off,Bearing,28266,14127,
"0.610606
-0.001157
-0.000186","1.110606
0.376442
0.377306","0.110606
-0.378755
-0.377677","0.305303
-0.000578
-0.000093",tri,359.off,Bearing,29924,14956,
"0.005413
-0.001380
0.000994","0.505413
0.094697
0.097778","-0.494587
-0.097457
-0.095790","0.002739
-0.000690
0.000497",tri,360.off,Bearing,70336,35170,
"0.003045
0.124299
0.045000","0.503045
0.473781
0.117128","-0.496955
-0.225182
-0.027127","0.001522
0.062150
0.022500",tri,241.off,Bird,27808,13906,
"0.000411
0.125488
0.039055","0.500411
0.471194
0.244317","-0.499589
-0.220217
-0.166207","0.000206
0.062744
0.019527",tri,242.off,Bird,62776,31390,
"0.002421
-0.011606
0.051640","0.502421
0.165817
0.122612","-0.497579
-0.189028
-0.019332","0.001211
-0.005803
0.025820",tri,243.off,Bird,25248,12626,
"0.005079
0.088933
0.055736","0.505079
0.321808
0.129417","-0.494921
-0.143942
-0.017945","0.002539
0.044466
0.027868",tri,244.off,Bird,35992,17998,
"-0.001669
0.143314
0.033271","0.498331
0.483025
0.231130","-0.501669
-0.196397
-0.164587","-0.000834
0.071657
0.016636",tri,245.off,Bird,51784,25894,
"0.003136
0.076266
0.061882","0.503136
0.226713
0.190387","-0.496864
-0.074180
-0.066624","0.001568
0.038133
0.030941",tri,246.off,Bird,33736,16870,
"0.009075
0.149578
0.082275","0.509075
0.396735
0.270872","-0.490925
-0.097579
-0.106322","0.004538
0.074788
0.041137",tri,247.off,Bird,44136,22070,
"0.348546
0.192465
0.074501","0.793523
0.692465
0.458331","-0.096431
-0.307535
-0.309330","0.174271
0.096231
0.037250",tri,248.off,Bird,23576,11790,
"0.008921
0.043796
0.089757","0.508921
0.285141
0.186450","-0.491079
-0.197549
-0.006937","0.004461
0.021898
0.044879",tri,249.off,Bird,29696,14850,
"0.015837
0.099440
0.027305","0.515837
0.452131
0.076989","-0.484163
-0.253252
-0.022379","0.007919
0.049722
0.013653",tri,250.off,Bird,34224,17114,
"0.002421
-0.011606
0.051640","0.502421
0.165817
0.122612","-0.497579
-0.189028
-0.019332","0.001211
-0.005803
0.025820",tri,251.off,Bird,25248,12626,
"-0.007497
0.136163
0.071840","0.492503
0.450771
0.289528","-0.507497
-0.178444
-0.145848","-0.003748
0.068082
0.035920",tri,252.off,Bird,50792,25398,
"-0.003965
0.117593
-0.030393","0.496035
0.557680
0.086672","-0.503965
-0.322495
-0.147457","-0.001982
0.058796
-0.015196",tri,253.off,Bird,49296,24650,
"-0.000971
0.068158
0.035652","0.499029
0.306033
0.087934","-0.500971
-0.169716
-0.016630","-0.000485
0.034079
0.017826",tri,254.off,Bird,29088,14546,
"0.007001
-0.019441
0.035185","0.507001
0.255303
0.170622","-0.492999
-0.294184
-0.100251","0.003501
-0.009721
0.017593",tri,255.off,Bird,40416,20210,
"-0.009141
0.105954
0.087925","0.490859
0.545721
0.196486","-0.509141
-0.333814
-0.020636","-0.004570
0.052977
0.043962",tri,256.off,Bird,47744,23874,
"0.027651
-0.043830
0.053304","0.527651
0.211849
0.127961","-0.472349
-0.299510
-0.021353","0.013825
-0.021915
0.026652",tri,257.off,Bird,68256,34130,
"0.204970
-0.000292
-0.070157","0.601899
0.499708
0.244422","-0.191959
-0.500292
-0.384736","0.102485
-0.000146
-0.035078",tri,258.off,Bird,71552,35778,
"-0.007220
0.098439
0.003701","0.492781
0.561327
0.185272","-0.507220
-0.364449
-0.177871","-0.003610
0.049220
0.001850",tri,259.off,Bird,72104,36054,
"-0.037385
-0.078989
0.000482","0.387009
0.299790
0.500482","-0.461778
-0.457769
-0.499518","-0.018692
-0.039494
0.000241",tri,260.off,Bird,79840,39922,
"0.008916
-0.011840
0.025503","0.508916
0.255531
0.252302","-0.491084
-0.279211
-0.201297","0.004458
-0.005920
0.012751",tri,301.off,Bust,74000,37002,
"-0.073633
-0.001021
-0.018998","0.426367
0.393278
0.249617","-0.573633
-0.395319
-0.287612","-0.036817
-0.000510
-0.009499",tri,302.off,Bust,50246,25125,
"0.029447
-0.066526
-0.003281","0.529447
0.298986
0.223820","-0.470553
-0.432038
-0.230382","0.014723
-0.033263
-0.001641",tri,303.off,Bust,31028,15516,
"-0.001090
0.014484
-0.011190","0.498910
0.282311
0.187075","-0.501090
-0.253343
-0.209455","-0.000545
0.007242
-0.005595",tri,304.off,Bust,50930,25467,
"0.021865
-0.003350
0.085775","0.521865
0.408120
0.412723","-0.478135
-0.414821
-0.241173","0.010932
-0.001675
0.042888",tri,305.off,Bust,55644,27824,
"0.190625
-0.004162
0.058297","0.690625
0.380713
0.327873","-0.309375
-0.389036
-0.211279","0.095312
-0.002081
0.029148",tri,306.off,Bust,53592,26798,
"0.018404
-0.069289
0.049913","0.518404
0.339312
0.426895","-0.481596
-0.477890
-0.327068","0.009202
-0.034645
0.024957",tri,307.off,Bust,54874,27439,
"0.100078
0.023813
0.010373","0.600078
0.439210
0.392935","-0.399922
-0.391584
-0.372190","0.050039
0.011906
0.005186",tri,308.off,Bust,47948,23976,
"-0.023101
0.040646
-0.019262","0.476899
0.379610
0.364629","-0.523101
-0.298319
-0.403154","-0.011550
0.020323
-0.009631",tri,309.off,Bust,41560,20782,
"0.062254
-0.004359
0.028746","0.562254
0.460739
0.365558","-0.437746
-0.469456
-0.308065","0.031127
-0.002179
0.014373",tri,310.off,Bust,66088,33046,
"0.127065
0.002925
0.013137","0.627065
0.312915
0.320179","-0.372935
-0.307066
-0.293905","0.063533
0.001462
0.006569",tri,311.off,Bust,50456,25230,
"0.191496
0.020984
0.008316","0.691496
0.492225
0.274503","-0.308504
-0.450256
-0.257871","0.095748
0.010492
0.004158",tri,312.off,Bust,53966,26985,
"0.089546
-0.017704
0.011379","0.589546
0.368327
0.294843","-0.410454
-0.403735
-0.272084","0.044773
-0.008852
0.005690",tri,313.off,Bust,21700,10852,
"0.247079
0.006404
0.036766","0.747079
0.470052
0.290908","-0.252921
-0.457245
-0.217375","0.123539
0.003202
0.018383",tri,314.off,Bust,52870,26437,
"0.120793
-0.119166
-0.003053","0.620793
0.209316
0.308422","-0.379207
-0.447647
-0.314529","0.060397
-0.059583
-0.001527",tri,315.off,Bust,51532,25768,
"0.128184
0.029158
0.095159","0.628184
0.338762
0.418767","-0.371816
-0.280447
-0.228450","0.064092
0.014579
0.047580",tri,316.off,Bust,46786,23395,
"0.082701
0.067132
-0.010682","0.582701
0.429724
0.286141","-0.417299
-0.295460
-0.307505","0.041350
0.033566
-0.005341",tri,317.off,Bust,55448,27726,
"0.047531
0.016181
0.131287","0.547531
0.322237
0.384378","-0.452469
-0.289875
-0.121803","0.023766
0.008091
0.065644",tri,318.off,Bust,50286,25145,
"0.016109
0.019476
-0.000130","0.516109
0.338605
0.254672","-0.483891
-0.299654
-0.254932","0.008055
0.009738
-0.000065",tri,319.off,Bust,53112,26558,
"0.179075
0.033168
-0.013979","0.657686
0.533168
0.331024","-0.299537
-0.466832
-0.358981","0.089538
0.016584
-0.006989",tri,320.off,Bust,54232,27118,
"-0.050888
0.001332
0.147394","0.449112
0.211052
0.418616","-0.550888
-0.208388
-0.123829","-0.025446
0.000666
0.073703",tri,101.off,Chair,67992,33996,
"-0.020360
0.001382
0.156289","0.479640
0.267592
0.474679","-0.520360
-0.264829
-0.162102","-0.010182
0.000691
0.078149",tri,102.off,Chair,31456,15724,
"-0.027588
0.004734
0.121187","0.472412
0.245687
0.417462","-0.527588
-0.236220
-0.175087","-0.013794
0.002368
0.060593",tri,103.off,Chair,77216,38608,
"-0.060103
0.012547
0.066005","0.439897
0.218482
0.319912","-0.560103
-0.193388
-0.187901","-0.030025
0.006273
0.032991",tri,104.off,Chair,69224,34612,
"-0.091024
-0.005538
0.060238","0.408976
0.206755
0.318960","-0.591024
-0.217831
-0.198484","-0.045510
-0.002769
0.030118",tri,105.off,Chair,74120,37056,
"-0.072220
-0.027704
0.234281","0.427780
0.257480
0.621734","-0.572220
-0.312889
-0.153171","-0.036105
-0.013852
0.117133",tri,106.off,Chair,28104,14052,
"-0.058105
-0.015149
0.015573","0.441895
0.227316
0.293308","-0.558105
-0.257613
-0.262163","-0.029053
-0.007574
0.007786",tri,107.off,Chair,22854,11421,
"-0.042579
-0.017895
0.017823","0.457421
0.225991
0.294431","-0.542579
-0.261781
-0.258784","-0.021289
-0.008947
0.008912",tri,108.off,Chair,21008,10500,
"-0.141697
0.005741
0.280775","0.358303
0.272792
0.622247","-0.641697
-0.261309
-0.060698","-0.070849
0.002871
0.140387",tri,109.off,Chair,20602,10301,
"0.120034
0.003622
0.072736","0.620034
0.193241
0.305873","-0.379966
-0.185997
-0.160401","0.060032
0.001812
0.036377",tri,110.off,Chair,67680,33836,
"0.105460
0.004775
0.074284","0.605460
0.194093
0.307547","-0.394540
-0.184542
-0.158978","0.052733
0.002387
0.037147",tri,111.off,Chair,64400,32200,
"-0.103157
0.001495
0.234082","0.396843
0.236116
0.591334","-0.603157
-0.233126
-0.123170","-0.051580
0.000747
0.117046",tri,112.off,Chair,27256,13628,
"0.207594
-0.013147
0.120311","0.707594
0.267695
0.401046","-0.292406
-0.293989
-0.160424","0.103789
-0.006573
0.060151",tri,113.off,Chair,21500,10748,
"0.294331
0.174589
0.007839","0.794331
0.466074
0.201217","-0.205669
-0.116897
-0.185539","0.147173
0.087296
0.003919",tri,114.off,Chair,46352,23176,
"0.185225
-0.012468
0.117128","0.685225
0.267759
0.394999","-0.314775
-0.292695
-0.160743","0.092612
-0.006231
0.058564",tri,115.off,Chair,20086,10043,
"0.029757
0.002984
0.089204","0.529757
0.282200
0.386865","-0.470243
-0.276232
-0.208457","0.014877
0.001492
0.044605",tri,116.off,Chair,26926,13463,
"-0.062624
0.005521
0.076285","0.437376
0.275899
0.380346","-0.562624
-0.264856
-0.227775","-0.031307
0.002761
0.038142",tri,117.off,Chair,28744,14372,
"-0.070318
0.004164
0.128913","0.429682
0.226750
0.390413","-0.570318
-0.218422
-0.132586","-0.035157
0.002081
0.064452",tri,118.off,Chair,73224,36612,
"-0.077285
0.105798
-0.015119","0.422715
0.449545
0.241221","-0.577285
-0.237949
-0.271458","-0.038642
0.052899
-0.007559",tri,119.off,Chair,24652,12326,
"0.102470
-0.004355
0.016430","0.602470
0.213092
0.246989","-0.397530
-0.221801
-0.214129","0.051232
-0.002177
0.008217",tri,120.off,Chair,20242,10121,
"0.220849
0.008758
0.007232","0.720849
0.379236
0.359228","-0.279151
-0.361719
-0.344763","0.110424
0.004379
0.003616",tri,21.off,Cup,30396,15198,
"0.140233
0.042749
0.003704","0.640233
0.422559
0.394437","-0.359767
-0.337061
-0.387030","0.070116
0.021374
0.001852",tri,22.off,Cup,30004,15002,
"0.155963
0.004867
-0.033243","0.655963
0.409170
0.265556","-0.344037
-0.399436
-0.332042","0.077982
0.002434
-0.016621",tri,23.off,Cup,30074,15037,
"0.132717
0.028036
0.001685","0.632717
0.404003
0.396162","-0.367283
-0.347932
-0.392791","0.066358
0.014018
0.000843",tri,24.off,Cup,30492,15246,
"0.038074
0.010666
0.002124","0.538074
0.352578
0.338371","-0.461926
-0.331245
-0.334122","0.019037
0.005333
0.001062",tri,25.off,Cup,30170,15087,
"0.074847
0.080055
0.004974","0.574847
0.534180
0.300120","-0.425153
-0.374070
-0.290171","0.037424
0.040027
0.002487",tri,26.off,Cup,30418,15209,
"0.075689
-0.066066
0.002432","0.575689
0.380120
0.327792","-0.424311
-0.512252
-0.322929","0.037845
-0.033033
0.001216",tri,27.off,Cup,30274,15137,
"0.217961
0.023054
0.007046","0.717961
0.397237
0.361484","-0.282039
-0.351130
-0.347392","0.108980
0.011527
0.003523",tri,28.off,Cup,30140,15070,
"0.120078
0.055445
-0.001871","0.620078
0.554903
0.283058","-0.379922
-0.444013
-0.286800","0.060038
0.027722
-0.000936",tri,29.off,Cup,30254,15127,
"0.239562
0.003850
0.001950","0.739562
0.381006
0.379037","-0.260437
-0.373307
-0.375138","0.119780
0.001925
0.000975",tri,30.off,Cup,30008,15006,
"0.067380
0.062428
-0.000750","0.567380
0.548627
0.358216","-0.432620
-0.423771
-0.359717","0.033690
0.031214
-0.000375",tri,31.off,Cup,30454,15227,
"0.099352
-0.095903
-0.011708","0.599352
0.340008
0.298138","-0.400648
-0.531813
-0.321553","0.049676
-0.047951
-0.005854",tri,32.off,Cup,29502,14751,
"0.152390
0.052895
-0.001302","0.652390
0.460274
0.398715","-0.347610
-0.354483
-0.401319","0.076194
0.026447
-0.000651",tri,33.off,Cup,58792,29396,
"0.038949
0.077496
-0.008306","0.538949
0.567618
0.363584","-0.461051
-0.412627
-0.380195","0.019475
0.038747
-0.004153",tri,34.off,Cup,76816,38408,
"0.093564
-0.000154
-0.001661","0.593564
0.324979
0.310233","-0.406436
-0.325287
-0.313554","0.046782
-0.000077
-0.000830",tri,35.off,Cup,30268,15136,
"0.069701
0.049300
0.001647","0.569701
0.537160
0.352491","-0.430299
-0.438560
-0.349196","0.034850
0.024650
0.000823",tri,36.off,Cup,72608,36304,
"0.156370
0.081666
-0.002013","0.656370
0.480722
0.388756","-0.343630
-0.317390
-0.392782","0.078185
0.040833
-0.001007",tri,37.off,Cup,50160,25080,
"0.044412
0.151902
-0.003457","0.443498
0.651902
0.342288","-0.354674
-0.348098
-0.349203","0.022206
0.075951
-0.001729",tri,38.off,Cup,30128,15064,
"0.165354
0.124660
-0.016902","0.665354
0.554256
0.342484","-0.334646
-0.304937
-0.376288","0.082677
0.062329
-0.008450",tri,39.off,Cup,30322,15161,
"0.040068
0.000290
0.000132","0.540068
0.287237
0.287129","-0.459932
-0.286658
-0.286864","0.020034
0.000145
0.000066",tri,40.off,Cup,30326,15165,
"-0.005668
0.092572
-0.002050","0.494332
0.370829
0.164676","-0.505668
-0.185685
-0.168776","-0.002834
0.046286
-0.001025",tri,221.off,Fish,56952,28478,
"0.067949
0.098044
0.013280","0.567949
0.284430
0.160780","-0.432051
-0.088341
-0.134220","0.033974
0.049022
0.006640",tri,222.off,Fish,42024,21014,
"0.120655
0.031551
0.035955","0.620655
0.250939
0.274048","-0.379345
-0.187836
-0.202138","0.060328
0.015776
0.017977",tri,223.off,Fish,53232,26618,
"0.102557
0.030244
0.014883","0.602557
0.170953
0.184529","-0.397443
-0.110465
-0.154763","0.051278
0.015122
0.007441",tri,224.off,Fish,40472,20238,
"0.119789
0.029337
0.028652","0.619789
0.283047
0.197818","-0.380211
-0.224373
-0.140514","0.059895
0.014669
0.014326",tri,225.off,Fish,48592,24298,
