bb_center,bb_max,bb_min,centroid,face_type,filename,label,n_faces,n_vertices,
"-0.082273
0.005663
0.100688","0.832744
0.741049
0.327336","-0.997290
-0.729723
-0.125961","-0.017953
-0.000517
-0.002233",tri,76.off,Airplane,47368,23686,
"0.001305
0.113202
-0.106522","0.874833
0.338851
0.786080","-0.872223
-0.112446
-0.999123","0.000106
-0.002617
-0.017572",tri,77.off,Airplane,52680,26342,
"-0.085627
0.000421
0.180013","0.825330
0.904409
0.481158","-0.996584
-0.903567
-0.121132","-0.015927
-0.000337
-0.002422",tri,78.off,Airplane,59744,29874,
"-0.108878
0.009426
0.180681","0.678490
0.984893
0.464737","-0.896245
-0.966042
-0.103375","-0.011220
-0.000913
-0.002586",tri,79.off,Airplane,53496,26750,
"-0.142142
-0.014388
0.154895","0.631339
0.945919
0.423769","-0.915624
-0.974695
-0.113978","-0.008991
0.000652
-0.002504",tri,80.off,Airplane,58792,29398,
"0.000480
0.028145
0.005969","0.378450
0.867739
0.540600","-0.377489
-0.811449
-0.528662","0.000129
0.003690
0.008524",tri,100.off,Ant,64496,32250,
"-0.034866
-0.066265
-0.121094","0.416093
0.843876
0.241441","-0.485825
-0.976406
-0.483628","-0.000165
0.010395
0.007314",tri,81.off,Ant,50944,25474,
"0.065447
0.029693
-0.092021","0.617929
0.919688
0.394064","-0.487034
-0.860302
-0.578105","0.000189
-0.001345
0.008765",tri,82.off,Ant,66376,33190,
"-0.061969
-0.007973
-0.007600","0.486448
0.926386
0.298216","-0.610386
-0.942332
-0.313416","0.000242
0.012082
0.005838",tri,83.off,Ant,50992,25498,
"-0.005271
0.051890
0.013891","0.428089
0.925887
0.486837","-0.438630
-0.822107
-0.459054","0.000032
0.008097
0.012065",tri,84.off,Ant,54784,27394,
"-0.083245
0.060334
0.103786","0.462269
0.934039
0.407658","-0.628758
-0.813371
-0.200086","0.005903
0.017253
-0.000144",tri,85.off,Ant,67088,33546,
"-0.010722
-0.012428
-0.062078","0.309103
0.899206
0.355275","-0.330547
-0.924062
-0.479430","-0.001135
0.013306
0.013371",tri,86.off,Ant,56288,28146,
"0.048794
0.043424
-0.120486","0.661702
0.961609
0.306695","-0.564114
-0.874761
-0.547666","-0.004074
0.003227
0.003588",tri,87.off,Ant,59744,29874,
"-0.005392
0.068244
-0.131683","0.748781
0.979821
0.374539","-0.759565
-0.843334
-0.637904","-0.001809
0.008246
0.010380",tri,88.off,Ant,65664,32834,
"-0.033064
0.015019
0.109177","0.479516
0.918473
0.426548","-0.545643
-0.888434
-0.208195","-0.000157
0.005112
-0.000182",tri,89.off,Ant,61216,30610,
"0.045353
0.013776
-0.035091","0.605421
0.915042
0.385720","-0.514716
-0.887490
-0.455902","-0.000344
0.011195
0.009928",tri,90.off,Ant,63000,31502,
"0.014599
0.084433
-0.042384","0.596302
0.969644
0.406338","-0.567105
-0.800777
-0.491105","-0.001873
0.004415
0.009178",tri,91.off,Ant,69104,34554,
"0.022244
0.043699
-0.024008","0.500245
0.996254
0.262275","-0.455756
-0.908857
-0.310290","-0.000763
0.018335
0.006775",tri,92.off,Ant,46920,23462,
"-0.018524
0.031691
0.133272","0.751837
0.949899
0.490604","-0.788885
-0.886518
-0.224060","0.000146
0.020555
0.008139",tri,93.off,Ant,65728,32864,
"-0.067860
0.019850
-0.030015","0.792364
0.329321
0.715708","-0.928083
-0.289621
-0.775738","0.010082
-0.001204
0.008304",tri,94.off,Ant,57872,28938,
"-0.075851
0.066972
0.012500","0.513256
0.954855
0.253013","-0.664959
-0.820911
-0.228013","0.006051
0.017978
0.001325",tri,95.off,Ant,58824,29414,
"-0.067827
-0.118211
0.035170","0.622665
0.728633
0.402302","-0.758319
-0.965054
-0.331961","0.007870
0.002862
0.003300",tri,96.off,Ant,68016,34010,
"-0.036768
-0.026521
0.014185","0.488468
0.828799
0.211378","-0.562004
-0.881841
-0.183009","0.001234
0.009441
0.001317",tri,97.off,Ant,65320,32662,
"-0.026472
-0.010225
-0.022912","0.392189
0.937167
0.380130","-0.445133
-0.957616
-0.425955","-0.000495
0.012447
0.004462",tri,98.off,Ant,49216,24610,
"0.042820
-0.060091
-0.097064","0.672313
0.814671
0.284030","-0.586672
-0.934853
-0.478159","-0.000365
0.008696
0.002596",tri,99.off,Ant,55032,27518,
"-0.081415
-0.020882
0.093623","0.543287
0.642828
0.658752","-0.706117
-0.684591
-0.471506","-0.003817
0.001977
-0.000043",tri,281.off,Armadillo,50542,25273,
"0.024033
-0.082745
-0.001560","0.448975
0.727284
0.487339","-0.400910
-0.892775
-0.490459","0.000733
-0.015262
-0.001666",tri,282.off,Armadillo,48942,24473,
"-0.030688
-0.011658
-0.006165","0.413383
0.927686
0.460674","-0.474760
-0.951002
-0.473004","0.001421
-0.013761
0.005401",tri,283.off,Armadillo,48964,24484,
"0.018600
-0.122949
-0.002849","0.597502
0.596627
0.695852","-0.560302
-0.842525
-0.701549","0.001302
0.003743
0.005336",tri,284.off,Armadillo,50984,25494,
"0.039781
-0.094546
-0.072387","0.556668
0.680658
0.642696","-0.477105
-0.869750
-0.787469","-0.001755
-0.001855
0.005888",tri,285.off,Armadillo,50382,25193,
"0.042687
0.003611
-0.104469","0.712486
0.664345
0.553417","-0.627113
-0.657124
-0.762355","-0.000942
0.009376
0.004530",tri,286.off,Armadillo,50212,25108,
"0.027491
0.096440
-0.007205","0.685147
0.839888
0.715232","-0.630165
-0.647007
-0.729643","0.006581
0.005149
0.000250",tri,287.off,Armadillo,50978,25491,
"0.065842
-0.045603
0.070803","0.797350
0.687606
0.770497","-0.665666
-0.778812
-0.628892","0.006084
0.002658
-0.000974",tri,288.off,Armadillo,39996,20000,
"-0.030584
-0.127276
0.165238","0.867028
0.629458
0.897409","-0.928195
-0.884010
-0.566932","-0.001029
-0.000733
0.000374",tri,289.off,Armadillo,50418,25211,
"-0.145608
-0.020854
0.008506","0.391910
0.706428
0.609401","-0.683127
-0.748136
-0.592389","-0.001749
-0.015258
-0.003502",tri,290.off,Armadillo,50858,25431,
"-0.006096
-0.036777
-0.019736","0.461244
0.906847
0.433274","-0.473435
-0.980400
-0.472746","0.001687
0.001318
0.001186",tri,291.off,Armadillo,49226,24615,
"-0.058192
-0.017163
0.095596","0.582126
0.645493
0.678569","-0.698511
-0.679818
-0.487378","-0.000581
0.001590
0.001218",tri,292.off,Armadillo,43544,21774,
"0.020883
-0.077064
0.002997","0.447672
0.736436
0.493896","-0.405906
-0.890564
-0.487903","-0.001081
-0.018197
0.001530",tri,293.off,Armadillo,29996,15000,
"0.029503
-0.020709
-0.016006","0.374745
0.904870
0.443987","-0.315740
-0.946287
-0.475999","-0.001945
-0.028551
0.009699",tri,294.off,Armadillo,32998,16501,
"-0.012749
-0.186897
0.062774","0.551512
0.514481
0.628186","-0.577011
-0.888275
-0.502637","0.001331
-0.004049
0.012360",tri,295.off,Armadillo,33556,16780,
"-0.015182
-0.068072
-0.022599","0.422973
0.730381
0.616184","-0.453337
-0.866525
-0.661382","-0.003716
-0.003822
0.007343",tri,296.off,Armadillo,31660,15832,
"0.073857
0.023870
-0.142818","0.759547
0.592409
0.512679","-0.611833
-0.544669
-0.798315","-0.003751
-0.017570
0.014756",tri,297.off,Armadillo,30626,15315,
"0.025961
0.080184
0.015994","0.686633
0.826428
0.709801","-0.634710
-0.666060
-0.677813","0.005370
-0.017355
0.003098",tri,298.off,Armadillo,29996,15000,
"0.050722
-0.033271
0.083007","0.785519
0.706352
0.789196","-0.684075
-0.772894
-0.623182","0.007078
0.007861
0.015472",tri,299.off,Armadillo,34230,17117,
"-0.028435
-0.139475
0.156576","0.860955
0.579938
0.882040","-0.917825
-0.858887
-0.568889","0.000276
-0.000496
0.000546",tri,300.off,Armadillo,34902,17453,
"-0.000094
-0.000117
-0.227750","0.229288
0.229114
0.541537","-0.229476
-0.229348
-0.997037","-0.000134
-0.000038
-0.079048",tri,341.off,Bearing,53152,26578,
"0.001736
-0.000382
0.012904","0.285869
0.283564
0.965811","-0.282397
-0.284329
-0.940003","0.001686
-0.000285
0.197105",tri,342.off,Bearing,53152,26578,
"-0.000119
-0.000313
0.078217","0.273584
0.273210
0.996217","-0.273823
-0.273837
-0.839783","-0.000145
-0.000296
-0.099784",tri,343.off,Bearing,53152,26578,
"0.000558
-0.212545
-0.003474","0.262146
0.399877
0.254719","-0.261029
-0.824967
-0.261666","-0.000180
-0.279389
-0.000553",tri,344.off,Bearing,25440,12722,
"-0.000171
-0.208597
-0.000821","0.263119
0.401818
0.261441","-0.263461
-0.819012
-0.263082","-0.001097
-0.279259
-0.000440",tri,345.off,Bearing,28896,14450,
"-0.000790
0.207847
-0.000046","0.265048
0.817879
0.264662","-0.266627
-0.402186
-0.264754","-0.002311
0.282648
-0.000327",tri,346.off,Bearing,28680,14342,
"-0.000132
0.000584
0.029353","0.339322
0.341495
0.940831","-0.339585
-0.340327
-0.882126","-0.001100
0.003265
0.040177",tri,347.off,Bearing,20968,10486,
"-0.000237
-0.000214
0.793678","0.077255
0.503740
0.871192","-0.077730
-0.504169
0.716163","-0.000233
-0.035398
0.793697",tri,348.off,Bearing,20528,10266,
"-0.010944
-0.119290
-0.010944","0.123997
0.758020
0.123994","-0.145884
-0.996599
-0.145883","-0.010935
-0.058846
-0.010961",tri,349.off,Bearing,20528,10266,
"0.000584
0.001051
0.070406","0.142751
0.143218
0.997773","-0.141583
-0.141115
-0.856961","0.000612
0.001067
0.006464",tri,350.off,Bearing,70056,35030,
"-0.000204
0.000734
-0.070289","0.261021
0.262750
0.850596","-0.261428
-0.261281
-0.991175","-0.000313
0.001073
0.131075",tri,351.off,Bearing,41520,20762,
"-0.000413
-0.000044
-0.178331","0.232391
0.231397
0.636527","-0.233216
-0.231485
-0.993190","-0.000120
-0.000048
-0.001533",tri,352.off,Bearing,20796,10400,
"0.087974
0.000458
0.000550","0.995044
0.191097
0.191280","-0.819097
-0.190182
-0.190181","0.004691
0.000452
0.000457",tri,353.off,Bearing,48320,24162,
"-0.000108
0.386328
0.000041","0.172349
0.995455
0.172110","-0.172565
-0.222799
-0.172028","-0.000863
0.251655
-0.000697",tri,354.off,Bearing,23264,11634,
"-0.000156
0.000387
0.001233","0.124160
0.994918
0.125549","-0.124472
-0.994143
-0.123083","-0.000147
0.000460
0.001235",tri,355.off,Bearing,29984,14994,
"-0.000180
0.000322
0.001217","0.124144
0.994918
0.125541","-0.124505
-0.994273
-0.123108","-0.000181
0.000326
0.001217",tri,356.off,Bearing,29980,14992,
"-0.003793
0.000008
0.001429","0.981040
0.065125
0.135563","-0.988626
-0.065110
-0.132705","-0.003768
0.000007
0.000988",tri,357.off,Bearing,29764,14872,
"0.000189
-0.376429
0.000645","0.474808
0.246267
0.475264","-0.474430
-0.999126
-0.473974","0.000201
0.005263
0.000643",tri,358.off,Bearing,28266,14127,
"-0.000358
0.374434
0.001254","0.475753
0.999094
0.477366","-0.476469
-0.250227
-0.474857","-0.000367
-0.008439
0.001235",tri,359.off,Bearing,29924,14956,
"-0.000872
0.000235
0.904109","0.017562
0.018863
0.999886","-0.019306
-0.018393
0.808332","-0.001005
0.000073
0.903587",tri,360.off,Bearing,70336,35170,
"-0.122349
-0.046711
0.001965","0.572189
0.096359
0.993937","-0.816888
-0.189781
-0.990007","0.000676
-0.005789
-0.000753",tri,241.off,Bird,27808,13906,
"0.000353
0.025864
-0.012070","0.909091
0.426588
0.636897","-0.908386
-0.374860
-0.661036","0.000183
0.003406
0.006218",tri,242.off,Bird,62776,31390,
"0.001850
0.004611
-0.002270","0.997154
0.260407
0.279047","-0.993454
-0.251184
-0.283586","-0.000539
0.000625
-0.001349",tri,243.off,Bird,25248,12626,
"0.004236
-0.057222
-0.081046","0.986814
0.082153
0.379668","-0.978343
-0.196597
-0.541761","-0.000652
-0.002764
0.002782",tri,244.off,Bird,35992,17998,
"0.001855
0.026095
-0.033685","0.908293
0.411563
0.593997","-0.904582
-0.359373
-0.661366","0.000722
0.002615
0.009278",tri,245.off,Bird,51784,25894,
"0.001875
-0.079263
-0.024314","0.975467
0.191845
0.299850","-0.971718
-0.350370
-0.348478","-0.000934
-0.004007
0.001349",tri,246.off,Bird,33736,16870,
"0.014048
0.020015
-0.088291","0.939218
0.383799
0.413306","-0.911122
-0.343769
-0.589887","-0.011599
-0.001573
0.006017",tri,247.off,Bird,44136,22070,
"-0.042437
0.090740
-0.103469","0.684537
0.687331
0.517258","-0.769412
-0.505852
-0.724197","-0.008663
0.012127
0.010199",tri,248.off,Bird,23576,11790,
"-0.012859
-0.119836
-0.034609","0.967885
0.076347
0.444860","-0.993603
-0.316019
-0.514078","-0.000391
-0.000214
0.007319",tri,249.off,Bird,29696,14850,
"0.082489
0.013574
-0.023783","0.756549
0.968428
0.068393","-0.591570
-0.941279
-0.115959","-0.011770
-0.001269
-0.000573",tri,250.off,Bird,34224,17114,
"0.001850
0.004611
-0.002270","0.997154
0.260407
0.279047","-0.993454
-0.251184
-0.283586","-0.000539
0.000625
-0.001349",tri,251.off,Bird,25248,12626,
"-0.005103
-0.098155
-0.089591","0.861626
0.286722
0.442585","-0.871832
-0.483032
-0.621766","0.001934
-0.008641
0.010253",tri,252.off,Bird,50792,25398,
"-0.003621
0.071315
0.105246","0.912207
0.316689
0.899329","-0.919448
-0.174060
-0.688836","0.000045
0.003615
-0.014905",tri,253.off,Bird,49296,24650,
"-0.029903
0.000768
-0.059206","0.074907
0.996571
0.415412","-0.134714
-0.995036
-0.533823","-0.000555
-0.000316
0.006915",tri,254.off,Bird,29088,14546,
"0.005428
-0.038666
0.020787","0.974420
0.224798
0.552170","-0.963564
-0.302130
-0.510595","-0.000803
-0.005104
0.007527",tri,255.off,Bird,40416,20210,
"0.083313
-0.065968
0.045115","0.933581
0.453149
0.859742","-0.766956
-0.585085
-0.769512","-0.017530
-0.001279
-0.004605",tri,256.off,Bird,47744,23874,
"0.019629
-0.052854
-0.089551","0.942441
0.082186
0.384379","-0.903183
-0.187893
-0.563481","-0.001590
-0.000954
-0.046663",tri,257.off,Bird,68256,34130,
"0.043399
0.044361
0.001713","0.740543
0.743784
0.629755","-0.653745
-0.655061
-0.626330","0.152146
0.023115
0.029748",tri,258.off,Bird,71552,35778,
"0.002302
-0.013230
0.072271","0.901980
0.287673
0.883663","-0.897375
-0.314132
-0.739121","-0.000807
0.001444
-0.005141",tri,259.off,Bird,72104,36054,
"-0.025128
0.095458
0.000720","0.435350
0.638705
0.642143","-0.485606
-0.447788
-0.640702","0.142412
0.084889
0.000044",tri,260.off,Bird,79840,39922,
"-0.018175
-0.001847
-0.004783","0.467436
0.939010
0.413648","-0.503786
-0.942705
-0.423215","0.000592
0.005395
-0.000427",tri,301.off,Bust,74000,37002,
"-0.001173
0.107459
-0.004598","0.700089
0.979800
0.498003","-0.702436
-0.764881
-0.507199","-0.001080
0.035341
-0.013700",tri,302.off,Bust,50246,25125,
"-0.090400
-0.130975
-0.052326","0.492645
0.542163
0.433348","-0.673445
-0.804114
-0.538000","-0.021082
-0.191849
-0.057113",tri,303.off,Bust,31028,15516,
"0.008630
-0.012387
0.013274","0.975228
0.507017
0.398172","-0.957968
-0.531792
-0.371623","0.007134
-0.000285
-0.000027",tri,304.off,Bust,50930,25467,
"0.036433
-0.047209
-0.044093","0.841220
0.809990
0.572598","-0.768354
-0.904408
-0.660783","-0.002901
-0.020831
-0.003109",tri,305.off,Bust,55644,27824,
"0.067513
0.157644
-0.001787","0.690609
0.998040
0.504535","-0.555583
-0.682752
-0.508109","0.004552
-0.004651
-0.000401",tri,306.off,Bust,53592,26798,
"-0.005658
-0.019383
0.013359","0.901272
0.812482
0.865703","-0.912588
-0.851247
-0.838986","-0.003470
-0.006872
-0.008304",tri,307.off,Bust,54874,27439,
"-0.094328
-0.001833
-0.008392","0.767926
0.918834
0.753754","-0.956582
-0.922500
-0.770538","0.004486
-0.009516
0.009260",tri,308.off,Bust,47948,23976,
"0.009895
0.002701
-0.166928","0.574263
0.575627
0.533635","-0.554473
-0.570225
-0.867491","0.000670
-0.039895
-0.090046",tri,309.off,Bust,41560,20782,
"-0.078204
0.001179
0.013858","0.841781
0.924200
0.655251","-0.998188
-0.921842
-0.627535","0.005584
0.044551
-0.003353",tri,310.off,Bust,66088,33046,
"-0.033163
0.098119
-0.029842","0.506864
0.985292
0.621898","-0.573191
-0.789055
-0.681581","0.000573
-0.000123
0.000000",tri,311.off,Bust,50456,25230,
"0.106267
0.035071
-0.030945","0.932582
0.782271
0.531920","-0.720048
-0.712130
-0.593811","-0.005556
0.004593
-0.000552",tri,312.off,Bust,53966,26985,
"0.066290
-0.044135
0.027681","0.733413
0.793350
0.700340","-0.600833
-0.881620
-0.644978","0.006582
-0.058263
0.006032",tri,313.off,Bust,21700,10852,
"-0.002436
0.207039
0.006171","0.731317
0.992582
0.411304","-0.736188
-0.578504
-0.398961","0.000305
0.009687
-0.000294",tri,314.off,Bust,52870,26437,
"0.042317
-0.073651
0.006894","0.615040
0.718204
0.694789","-0.530406
-0.865507
-0.681001","-0.021490
-0.004769
-0.055401",tri,315.off,Bust,51532,25768,
"0.070155
-0.085239
0.065075","0.654632
0.724172
0.766385","-0.514321
-0.894649
-0.636235","0.001774
-0.006460
-0.000859",tri,316.off,Bust,46786,23395,
"0.013950
-0.086491
-0.050893","0.544574
0.813392
0.623639","-0.516673
-0.986374
-0.725424","-0.000039
0.003667
-0.000430",tri,317.off,Bust,55448,27726,
"-0.000421
-0.031303
-0.022113","0.519813
0.684717
0.716309","-0.520655
-0.747323
-0.760535","0.009366
-0.003444
0.002711",tri,318.off,Bust,50286,25145,
"-0.013851
0.012651
0.038517","0.957168
0.552901
0.636884","-0.984869
-0.527599
-0.559850","0.005225
0.001478
-0.000466",tri,319.off,Bust,53112,26558,
"-0.016281
0.090457
-0.036287","0.858232
0.955581
0.622633","-0.890795
-0.774668
-0.695207","0.002320
-0.009710
-0.009170",tri,320.off,Bust,54232,27118,
"-0.092874
0.003245
0.006746","0.307564
0.826691
0.386610","-0.493312
-0.820201
-0.373117","-0.004359
0.008863
-0.000304",tri,101.off,Chair,67992,33996,
"-0.010703
0.025679
-0.054013","0.588386
0.810961
0.569081","-0.609792
-0.759604
-0.677108","0.003200
0.009828
0.003345",tri,102.off,Chair,31456,15724,
"-0.070760
0.012727
-0.014123","0.347921
0.842544
0.418751","-0.489441
-0.817091
-0.446996","-0.001912
0.009969
-0.001054",tri,103.off,Chair,77216,38608,
"0.006435
-0.059055
-0.022886","0.347057
0.272830
0.831257","-0.334187
-0.390939
-0.877029","-0.001276
0.000077
0.013167",tri,104.off,Chair,69224,34612,
"0.004392
-0.073752
-0.048485","0.335326
0.248520
0.781366","-0.326543
-0.396025
-0.878335","-0.000722
-0.001185
0.009718",tri,105.off,Chair,74120,37056,
"-0.084991
0.002810
-0.088060","0.441864
0.475525
0.683096","-0.611847
-0.469905
-0.859216","0.002667
-0.000225
0.012523",tri,106.off,Chair,28104,14052,
"-0.041726
-0.009362
0.068070","0.497275
0.877841
0.621226","-0.580726
-0.896565
-0.485087","0.001969
0.028414
-0.005228",tri,107.off,Chair,22854,11421,
"-0.052772
-0.002352
-0.042138","0.502543
0.889588
0.502049","-0.608087
-0.894292
-0.586326","0.005484
0.021448
0.003740",tri,108.off,Chair,21008,10500,
"-0.000322
-0.072351
0.066694","0.428097
0.622377
0.504622","-0.428741
-0.767079
-0.371233","0.000055
0.013748
0.002121",tri,109.off,Chair,20602,10301,
"0.009205
-0.055876
-0.053222","0.343899
0.763872
0.313584","-0.325488
-0.875624
-0.420028","-0.006329
0.032081
0.006846",tri,110.off,Chair,67680,33836,
"0.010105
-0.042817
-0.044160","0.350251
0.790152
0.329016","-0.330041
-0.875787
-0.417335","-0.007057
0.035799
0.008931",tri,111.off,Chair,64400,32200,
"0.000654
-0.067739
-0.048859","0.393354
0.646043
0.449151","-0.392046
-0.781521
-0.546870","-0.000335
0.009741
0.003392",tri,112.off,Chair,27256,13628,
"-0.055451
-0.118818
0.011262","0.351039
0.619560
0.474219","-0.461941
-0.857196
-0.451694","0.011778
0.032132
-0.001723",tri,113.off,Chair,21500,10748,
"-0.002720
-0.155504
0.048807","0.301598
0.556107
0.397265","-0.307038
-0.867114
-0.299651","0.001006
0.070366
-0.002927",tri,114.off,Chair,46352,23176,
"-0.038141
-0.108275
0.013220","0.375666
0.643392
0.483736","-0.451947
-0.859943
-0.457296","0.011301
0.033641
-0.002024",tri,115.off,Chair,20086,10043,
"-0.000376
0.028268
0.083412","0.487429
0.848201
0.606391","-0.488181
-0.791665
-0.439567","0.000026
0.006222
-0.000859",tri,116.off,Chair,26926,13463,
"0.003198
-0.054016
0.073730","0.474150
0.744206
0.558457","-0.467754
-0.852238
-0.410997","-0.000861
0.017620
-0.004793",tri,117.off,Chair,28744,14372,
"0.076015
-0.012952
0.003367","0.465660
0.804572
0.397400","-0.313631
-0.830476
-0.390666","-0.000412
0.015792
-0.000296",tri,118.off,Chair,73224,36612,
"0.000444
-0.065625
0.080950","0.444700
0.744655
0.541549","-0.443812
-0.875904
-0.379650","-0.000155
0.007470
0.001412",tri,119.off,Chair,24652,12326,
"0.004903
-0.070634
0.065425","0.390663
0.778459
0.440598","-0.380856
-0.919726
-0.309749","0.000225
0.026370
-0.005687",tri,120.off,Chair,20242,10121,
"-0.127167
-0.020961
0.002959","0.704164
0.523527
0.620392","-0.958498
-0.565449
-0.614474","0.038891
-0.011150
-0.001281",tri,21.off,Cup,30396,15198,
"0.059281
0.055868
0.003069","0.939458
0.710098
0.693897","-0.820897
-0.598363
-0.687758","-0.067149
0.022901
-0.001343",tri,22.off,Cup,30004,15002,
"-0.100919
-0.064489
0.001376","0.786336
0.448760
0.716959","-0.988173
-0.577739
-0.714207","0.029480
-0.026622
0.000696",tri,23.off,Cup,30074,15037,
"0.052417
0.034180
0.000754","0.943793
0.699648
0.702490","-0.838958
-0.631289
-0.700982","-0.066991
0.009468
-0.003893",tri,24.off,Cup,30492,15246,
"-0.003172
-0.032316
0.002553","0.579172
0.821075
0.576458","-0.585517
-0.885707
-0.571351","-0.005839
-0.067660
-0.005093",tri,25.off,Cup,30170,15087,
"0.134612
0.001373
-0.027626","0.912592
0.523004
0.715781","-0.643368
-0.520257
-0.771033","-0.056106
-0.003060
-0.069836",tri,26.off,Cup,30418,15209,
"0.110653
0.002664
0.020673","0.863710
0.554481
0.703455","-0.642404
-0.549153
-0.662109","-0.052074
0.000018
-0.008170",tri,27.off,Cup,30274,15137,
"-0.116248
-0.031189
0.004037","0.727063
0.519904
0.629400","-0.959558
-0.582282
-0.621327","0.048120
-0.020386
-0.001413",tri,28.off,Cup,30140,15070,
"0.155821
-0.004662
-0.005099","0.935906
0.490971
0.640459","-0.624264
-0.500294
-0.650657","-0.065054
-0.001946
-0.063857",tri,29.off,Cup,30254,15127,
"0.003324
-0.204973
0.004848","0.549027
0.518388
0.550698","-0.542379
-0.928333
-0.541002","0.001520
-0.029995
0.001838",tri,30.off,Cup,30008,15006,
"-0.084938
-0.113285
0.002203","0.793415
0.669500
0.648166","-0.963292
-0.896070
-0.643759","0.048541
-0.021651
-0.001096",tri,31.off,Cup,30454,15227,
"0.116989
0.037939
0.001478","0.853310
0.704408
0.534948","-0.619332
-0.628529
-0.531993","-0.048912
0.003713
-0.002045",tri,32.off,Cup,29502,14751,
"0.114931
0.016432
-0.000919","0.970784
0.648807
0.672283","-0.740921
-0.615942
-0.674121","-0.015389
-0.011983
-0.000426",tri,33.off,Cup,58792,29396,
"0.001891
-0.085359
-0.015634","0.628945
0.701268
0.762612","-0.625162
-0.871986
-0.793879","0.001584
0.007311
-0.038676",tri,34.off,Cup,76816,38408,
"0.001154
-0.114171
0.001609","0.500886
0.653413
0.478736","-0.498578
-0.881755
-0.475519","-0.000976
-0.042362
0.000479",tri,35.off,Cup,30268,15136,
"-0.055369
0.055139
0.043127","0.652373
0.863570
0.716905","-0.763111
-0.753292
-0.630651","-0.004425
-0.013431
-0.003159",tri,36.off,Cup,72608,36304,
"-0.012898
0.002398
0.138122","0.660120
0.674888
0.997993","-0.685916
-0.670091
-0.721749","0.056370
0.002770
-0.004889",tri,37.off,Cup,50160,25080,
"-0.047702
-0.033098
0.006519","0.807385
0.617743
0.621860","-0.902790
-0.683938
-0.608823","0.127938
-0.076398
0.004547",tri,38.off,Cup,30128,15064,
"0.074321
0.060897
-0.018698","0.908827
0.620315
0.622055","-0.760185
-0.498521
-0.659451","-0.083698
-0.047654
-0.019083",tri,39.off,Cup,30322,15161,
"0.001543
-0.001117
0.001149","0.517862
0.921918
0.514446","-0.514777
-0.924153
-0.512149","-0.001422
-0.038684
0.001004",tri,40.off,Cup,30326,15165,
"-0.047976
-0.002234
0.040042","0.842395
0.295744
0.571004","-0.938347
-0.300212
-0.490920","-0.007135
-0.000233
0.009463",tri,221.off,Fish,56952,28478,
"0.046566
0.013481
0.091387","0.951119
0.280549
0.432151","-0.857987
-0.253587
-0.249377","-0.015847
-0.000652
0.005045",tri,222.off,Fish,42024,21014,
